txtdate,intdate,recession_indicator,country,spy_open,spy_high,spy_low,spy_close,spx_open,spx_high,spx_low,spx_close,dji_open,dji_high,dji_low,dji_close,cpi,gdp,inflation,unemployment
25889,19701117,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25890,19701118,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25891,19701119,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25892,19701120,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25893,19701121,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25894,19701122,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25895,19701123,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25896,19701124,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25897,19701125,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25898,19701126,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25899,19701127,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25900,19701128,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25901,19701129,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25902,19701130,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25903,19701201,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25904,19701202,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25905,19701203,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25906,19701204,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25907,19701205,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25908,19701206,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25909,19701207,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25910,19701208,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25911,19701209,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25912,19701210,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25913,19701211,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25914,19701212,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25915,19701213,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
25916,19701214,f,US,,,,,,,,,,,,,16.79204445,,5.83825534,
